station,city,datetime,predicted_aqi
0,0,2026-01-01 00:00:00,480.1617301404387
0,0,2026-01-01 01:00:00,480.1617301404387
0,0,2026-01-01 02:00:00,480.1617301404387
0,0,2026-01-01 03:00:00,480.1617301404387
0,0,2026-01-01 04:00:00,480.1617301404387
0,0,2026-01-01 05:00:00,480.1617301404387
0,0,2026-01-01 06:00:00,480.1617301404387
0,0,2026-01-01 07:00:00,480.1617301404387
0,0,2026-01-01 08:00:00,480.1617301404387
0,0,2026-01-01 09:00:00,480.1617301404387
0,0,2026-01-01 10:00:00,469.96458552991805
0,0,2026-01-01 11:00:00,469.96458552991805
0,0,2026-01-01 12:00:00,469.96458552991805
0,0,2026-01-01 13:00:00,469.96458552991805
0,0,2026-01-01 14:00:00,469.96458552991805
0,0,2026-01-01 15:00:00,469.64458552991806
0,0,2026-01-01 16:00:00,482.92208784502805
0,0,2026-01-01 17:00:00,482.92208784502805
0,0,2026-01-01 18:00:00,482.92208784502805
0,0,2026-01-01 19:00:00,482.92208784502805
0,0,2026-01-01 20:00:00,482.92208784502805
0,0,2026-01-01 21:00:00,482.7670878450281
0,0,2026-01-01 22:00:00,482.7670878450281
0,0,2026-01-01 23:00:00,482.7670878450281
1,0,2026-01-01 00:00:00,484.0673180553692
1,0,2026-01-01 01:00:00,484.0673180553692
1,0,2026-01-01 02:00:00,484.0673180553692
1,0,2026-01-01 03:00:00,484.0673180553692
1,0,2026-01-01 04:00:00,484.0673180553692
1,0,2026-01-01 05:00:00,484.0673180553692
1,0,2026-01-01 06:00:00,484.0673180553692
1,0,2026-01-01 07:00:00,484.0673180553692
1,0,2026-01-01 08:00:00,484.0673180553692
1,0,2026-01-01 09:00:00,484.0673180553692
1,0,2026-01-01 10:00:00,468.4087524758975
1,0,2026-01-01 11:00:00,468.4087524758975
1,0,2026-01-01 12:00:00,468.4087524758975
1,0,2026-01-01 13:00:00,468.4087524758975
1,0,2026-01-01 14:00:00,468.4087524758975
1,0,2026-01-01 15:00:00,468.4087524758975
1,0,2026-01-01 16:00:00,483.33216458954223
1,0,2026-01-01 17:00:00,483.33216458954223
1,0,2026-01-01 18:00:00,483.33216458954223
1,0,2026-01-01 19:00:00,483.33216458954223
1,0,2026-01-01 20:00:00,483.33216458954223
1,0,2026-01-01 21:00:00,483.1771645895422
1,0,2026-01-01 22:00:00,483.1771645895422
1,0,2026-01-01 23:00:00,483.1771645895422
2,0,2026-01-01 00:00:00,461.0089587733759
2,0,2026-01-01 01:00:00,461.0089587733759
2,0,2026-01-01 02:00:00,461.0089587733759
2,0,2026-01-01 03:00:00,461.0089587733759
2,0,2026-01-01 04:00:00,461.0089587733759
2,0,2026-01-01 05:00:00,461.0089587733759
